track_name,track_id,duration_ms,album_name,release_date,label,album_popularity,album_id,artist_id,duration_sec
Amazing Grace,6mN8nzCXWUeT5LWEcG1Utx,555521,Deep Peace Experience,2015-06-09 00:00:00 UTC,Mountain Music Inc,6.0,3VoHMFQzFr9v163HXRvfo2,002nyxOMwdc9EgNEo7ETcF,555.521
Silent Night,58sgjtx3FOnBBEOd3BQE6C,535041,Deep Peace Experience,2015-06-09 00:00:00 UTC,Mountain Music Inc,6.0,3VoHMFQzFr9v163HXRvfo2,002nyxOMwdc9EgNEo7ETcF,535.041
Ancient Canyons,45tQJhm0WSk5VWMZK3FsLK,545855,Deep Peace Experience,2015-06-09 00:00:00 UTC,Mountain Music Inc,6.0,3VoHMFQzFr9v163HXRvfo2,002nyxOMwdc9EgNEo7ETcF,545.855
Pacha Mama Medicina,3VFD7QqkJSg0OR6yBwKl7A,305241,Deep Peace Experience,2015-06-09 00:00:00 UTC,Mountain Music Inc,6.0,3VoHMFQzFr9v163HXRvfo2,002nyxOMwdc9EgNEo7ETcF,305.241
Palace Of Light,7LwJV5BEIC9BQnzvaBSyCc,351060,Deep Peace Experience,2015-06-09 00:00:00 UTC,Mountain Music Inc,6.0,3VoHMFQzFr9v163HXRvfo2,002nyxOMwdc9EgNEo7ETcF,351.06
Jeweled Lotus (Om Mani Peme Hum),3I9hXJVjdNYnNfJ5PjgxKA,562887,Deep Peace Experience,2015-06-09 00:00:00 UTC,Mountain Music Inc,6.0,3VoHMFQzFr9v163HXRvfo2,002nyxOMwdc9EgNEo7ETcF,562.887
Loka (May All Beings Be Happy),0K3bvVuJZTrhK8S4yT9Z7g,417908,Deep Peace Experience,2015-06-09 00:00:00 UTC,Mountain Music Inc,6.0,3VoHMFQzFr9v163HXRvfo2,002nyxOMwdc9EgNEo7ETcF,417.908
Shiva Radiance (I Am That I Am),3Vke9b8vKfG5evYn5vcDvW,553509,Deep Peace Experience,2015-06-09 00:00:00 UTC,Mountain Music Inc,6.0,3VoHMFQzFr9v163HXRvfo2,002nyxOMwdc9EgNEo7ETcF,553.509
Dream Healing,0z2oH4GgrXdWE0FicrIwYs,581434,Deep Peace Experience,2015-06-09 00:00:00 UTC,Mountain Music Inc,6.0,3VoHMFQzFr9v163HXRvfo2,002nyxOMwdc9EgNEo7ETcF,581.434
See The World Burn,6cCOUBWo2uSz8Eio8ztDSh,164217,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2.0,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,164.217
Black Sands,6T0w8wrJhIMiBqVmC4UhrV,151287,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2.0,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,151.287
Squad Goals,1RDxImYrRLV8gpL5J1eeO9,257977,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2.0,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,257.977
All Gold,3UYPhAxyuc7XTQX0RTaMqj,130462,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2.0,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,130.462
Gladiators,5rVuUcCfe2SBd0I1YthDP6,216503,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2.0,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,216.503
Power,5sRZJDjMfqeGqzcf7VLLeD,213052,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2.0,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,213.052
Bright Side,4zpLDzxAl6ZwaeWzL20ZXM,210557,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2.0,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,210.557
Rumble In Kerma,62vwux2aauHam2wQKJG4HI,171977,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2.0,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,171.977
The Coin,1sgVXkabERazto6ePY7c4e,243664,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2.0,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,243.664
Kings And Queens,3yGRnVDOx6PqFjrC460dpZ,195084,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2.0,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,195.084
Reign,3CqlwRGISC92ue2s9WklIT,261256,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2.0,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,261.256
King'S Calling,0Z7ZrD4pFJ6TJLT5NfGBFb,248471,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2.0,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,248.471
Rah,6icLovKH6BSmjZSgqRcYwW,149886,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2.0,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,149.886
Fire,5VIJ35Rs3wPW4upxeuOFkX,205500,The Jimi Hendrix Experimento,2017-03-02 00:00:00 UTC,Los Años Luz Discos,1.0,1tNACeF9Pk67b8jvzYBDdB,00AuH5M9ms9SBUVijjpVof,205.5
Drifting,5ZZEw2b6ueFJhRVBGtFRAz,216000,The Jimi Hendrix Experimento,2017-03-02 00:00:00 UTC,Los Años Luz Discos,1.0,1tNACeF9Pk67b8jvzYBDdB,00AuH5M9ms9SBUVijjpVof,216.0
One Rainy Wish,2jSAf3FaQHwja43LWHRfWd,327250,The Jimi Hendrix Experimento,2017-03-02 00:00:00 UTC,Los Años Luz Discos,1.0,1tNACeF9Pk67b8jvzYBDdB,00AuH5M9ms9SBUVijjpVof,327.25
Little Wing,4Hxnw9L9wB15zFiOsQj9Ar,270000,The Jimi Hendrix Experimento,2017-03-02 00:00:00 UTC,Los Años Luz Discos,1.0,1tNACeF9Pk67b8jvzYBDdB,00AuH5M9ms9SBUVijjpVof,270.0
Wait Until Tomorrow,7M73rJqYwzbw8jaqNsWLpf,219250,The Jimi Hendrix Experimento,2017-03-02 00:00:00 UTC,Los Años Luz Discos,1.0,1tNACeF9Pk67b8jvzYBDdB,00AuH5M9ms9SBUVijjpVof,219.25
Castles Made Of Sand,4qgwgJkuGvuqZT0c6IvKxK,254250,The Jimi Hendrix Experimento,2017-03-02 00:00:00 UTC,Los Años Luz Discos,1.0,1tNACeF9Pk67b8jvzYBDdB,00AuH5M9ms9SBUVijjpVof,254.25
Come On (Part 1),7cud5rA0hyblSaXCxV3FiR,198500,The Jimi Hendrix Experimento,2017-03-02 00:00:00 UTC,Los Años Luz Discos,1.0,1tNACeF9Pk67b8jvzYBDdB,00AuH5M9ms9SBUVijjpVof,198.5
Crosstown Traffic,665HJMgNIWkKa4ekaia48u,261508,The Jimi Hendrix Experimento,2017-03-02 00:00:00 UTC,Los Años Luz Discos,1.0,1tNACeF9Pk67b8jvzYBDdB,00AuH5M9ms9SBUVijjpVof,261.508
The Wind Cries Mary,1mPUmNpeRdZtN9xZR2rAK8,240250,The Jimi Hendrix Experimento,2017-03-02 00:00:00 UTC,Los Años Luz Discos,1.0,1tNACeF9Pk67b8jvzYBDdB,00AuH5M9ms9SBUVijjpVof,240.25
Iylm,0eQLbjIPBJCqi1mxPBJ3fS,140519,Iylm,2021-12-22 00:00:00 UTC,Solo's Dojo,2.0,7av8naS0K2dxYx6lLH3pk6,00WeyJCsPWQ5jT7oq1pg7Y,140.519
A Light That Never Comes,1rNAxXJLt9gQEicKHfswK2,230295,A Light That Never Comes - Tribute To Linkin Park And Steve Aoki,2013-10-23 00:00:00 UTC,Pop Beatz,0.0,3FfNECaaPY4FD7opVl17P7,00xtj0ItFK8vjtTf0T40Iz,230.295
A Light That Never Comes - Instrumental Version,1KtMtVQScHw66DBwgzCxpC,230295,A Light That Never Comes - Tribute To Linkin Park And Steve Aoki,2013-10-23 00:00:00 UTC,Pop Beatz,0.0,3FfNECaaPY4FD7opVl17P7,00xtj0ItFK8vjtTf0T40Iz,230.295
A Light That Never Comes - Instrumental Version,1Gb6NvVEwWcJDCJ9H0VllJ,230321,A Light That Never Comes - Tribute To Linkin Park And Steve Aoki,2013-10-08 00:00:00 UTC,Pop Beatz,0.0,4XNaVzjjwcAtTP8DGom1xo,00xtj0ItFK8vjtTf0T40Iz,230.321
A Light That Never Comes,3J2Vn6sEEq8ppE9wTa8B2f,230321,A Light That Never Comes - Tribute To Linkin Park And Steve Aoki,2013-10-08 00:00:00 UTC,Pop Beatz,0.0,4XNaVzjjwcAtTP8DGom1xo,00xtj0ItFK8vjtTf0T40Iz,230.321
Linkin Park Koplo,0JPAYF7ozLYNmrCes8VzYL,193700,Linkin Park Koplo,2023-10-24 00:00:00 UTC,Dollar Digital Production,0.0,2NTSPtuJ15c9t137kHDn9B,01KfYEhs3fxnMppWEot3tT,193.7
Money Ain'T Sh!T,1flNcpoQyHDItU9KgZlBHr,198661,Black Bart,2013-02-13 00:00:00 UTC,Black Dave,12.0,3b70joxewFDjuqR19UXdFe,023YJhJlLPOOn0pDUjRtaD,198.661
New Nwo (Feat. Grande Marshall & Boldy James),1EB4SpdhVa8uc2kW0e6SYn,230974,Black Bart,2013-02-13 00:00:00 UTC,Black Dave,12.0,3b70joxewFDjuqR19UXdFe,023YJhJlLPOOn0pDUjRtaD,230.974
09:40:00,2ID17YbmupLtJoaAKsRZZg,151693,Black Bart,2013-02-13 00:00:00 UTC,Black Dave,12.0,3b70joxewFDjuqR19UXdFe,023YJhJlLPOOn0pDUjRtaD,151.693
Million Man March,1DeWFhZLy0L6ccoBv5t4tI,241371,Black Bart,2013-02-13 00:00:00 UTC,Black Dave,12.0,3b70joxewFDjuqR19UXdFe,023YJhJlLPOOn0pDUjRtaD,241.371
F*Ck Everybody (Feat. William Wilson),7v8FfDWRRaqaiXDlIxO3Mf,220107,Black Bart,2013-02-13 00:00:00 UTC,Black Dave,12.0,3b70joxewFDjuqR19UXdFe,023YJhJlLPOOn0pDUjRtaD,220.107
Fake Id,2xyoku5w2DPmL4LxltHh18,225880,Black Bart,2013-02-13 00:00:00 UTC,Black Dave,12.0,3b70joxewFDjuqR19UXdFe,023YJhJlLPOOn0pDUjRtaD,225.88
I Am Myself (Poem),4pyNQTlEbFiJ2SLiQbcizp,70347,Black Bart,2013-02-13 00:00:00 UTC,Black Dave,12.0,3b70joxewFDjuqR19UXdFe,023YJhJlLPOOn0pDUjRtaD,70.347
Take It Back (Feat. Shy Guy),3NZgZvbaqW8uPerEhP8UpC,250200,Black Bart,2013-02-13 00:00:00 UTC,Black Dave,12.0,3b70joxewFDjuqR19UXdFe,023YJhJlLPOOn0pDUjRtaD,250.2
